question_format,answer_format,label,,
How many units is [COURSE]?,[COURSE] is [COURSE..units] units.,units,,
How many units does [COURSE] have?,[COURSE] is [COURSE..units] units.,units,,
How many units does [COURSE] fulfill?,[COURSE] is [COURSE..units] units.,units,,
Does [COURSE] have any prerequisites?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
How many prerequisites does [COURSE] have?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
Are there any prerequisites for [COURSE]?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
Does [COURSE] have any preqs?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
Is [COURSE] being offered this quarter?,[Yes/No] ,binary,,
Can I take [COURSE] this quarter?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
When's the next time I can take [COURSE]?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
Is [COURSE] being offered soon?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
When has [COURSE] been offered?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
How many units is [COURSE]?,[COURSE] is [COURSE..units] units.,units,,
What is the name of [COURSE]?,The title for [COURSE] is [COURSE..course_name].,course_name,,
What class is [COURSE]?,The title for [COURSE] is [COURSE..course_name].,course_name,,
What is the descriptionription of [COURSE]?,[COURSE]: [COURSE..desc].,description,,
What do you learn in [COURSE]?,[COURSE]: [COURSE..desc].,description,,
Is [COURSE] being offered next quarter?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
Does [COURSE] have non-statistics prerequisites?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
Does [COURSE] have non-statistics and non-math prerequisites?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
What is [COURSE]?,[COURSE]: [COURSE..desc].,description,,
When is [COURSE] typically offered?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
How many units is [COURSE]?,[COURSE] is [COURSE..units] units.,units,,
What class is [COURSE]?,[COURSE]: [COURSE..desc].,description,,
What will I learn in [COURSE]?,[COURSE]: [COURSE..desc].,description,,
What class is [COURSE]?,[COURSE]: [COURSE..desc].,description,,
What is the name of [COURSE]?,The title for [COURSE] is [COURSE..course_name].,course_name,,
How many units is [COURSE]?,[COURSE] is [COURSE..units] units.,units,,
What are the prerequisites for [COURSE]?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
What courses are needed to take [COURSE]?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
How many units is [COURSE]?,[COURSE] is [COURSE..units] units.,units,,
How much credits is [COURSE] worth?,[COURSE] is [COURSE..units] units.,units,,
When is [COURSE] offered?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
What is the number for [COURSE]?,The number for [COURSE] is [COURSE..course_num],course_num,,
What is the descriptionription for [COURSE]?,The number for [COURSE] is [COURSE..course_num],course_num,,
Does [COURSE] have any corequisites?,The corequisites for [COURSE] are [COURSE..corequisites],corequisites,,
Does [COURSE] have any concurrent enrollements?,The corequisites for [COURSE] are [COURSE..corequisites],corequisites,,
How is [COURSE] listed?,The number for [COURSE] is [COURSE..course_num],course_num,,
Which quarter is [COURSE] typically offered?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
What course number does [COURSE] have?,The number for [COURSE] is [COURSE..course_num],course_num,,
What course name does [COURSE] have?,[COURSE..number] is [COURSE],,,
Are there any recommended classes for [COURSE]?,[COURSE..recommended] are recommended for [COURSE],recommended,,
What are [PROF]'s research areas?,[PROF] has expertise in [PROF..research_interests].,research_interests,,
Does [PROF] have a website?,The website for [PROF] is [PROF..website].,website,,
What is [PROF]'s website?,The website for [PROF] is [PROF..website].,website,,
Where can I learn more about [PROF]?,The website for [PROF] is [PROF..website].,website,,
Does [PROF] have a Cal Poly website?,The website for [PROF] is [PROF..website].,website,,
When are [PROF]'s office hours?,[PROF]'s office hours are [PROF..office_hours].,office_hours,,
Does [PROF] have office hours right now?,[PROF]'s office hours are [PROF..office_hours].,office_hours,,
Does [PROF] have office hours later today?,[PROF]'s office hours are [PROF..office_hours].,office_hours,,
Does [PROF] have office hours tomorrow?,[PROF]'s office hours are [PROF..office_hours].,office_hours,,
Where is [PROF]'s office?,[PROF]'s office is [PROF..office].,office,,
What is [PROF]'s email?,[PROF]'s email is [PROF..email].,email,,
How can I email [PROF]?,[PROF]'s email is [PROF..email].,email,,
What is the email of [PROF]?,[PROF]'s email is [PROF..email].,email,,
Is [PROF]'s email listed?,[PROF]'s email is [PROF..email].,email,,
What is [PROF]'s phone number?,[PROF]'s phone number is [PROF..phone number].,phone_number,,
What is the phone number for [PROF]?,[PROF]'s phone number is [PROF..phone number].,phone_number,,
Does [PROF] have a phone number listed?,[PROF]'s phone number is [PROF..phone number].,phone_number,,
Is there a phone number listed for [PROF]?,[PROF]'s phone number is [PROF..phone number].,phone_number,,
What are the research interests of [PROF]?,[PROF] has expertise in [PROF..research_interests].,research_interests,,
What research areas are [PROF] interested in?,[PROF] has expertise in [PROF..research_interests].,research_interests,,
What is [PROF] researching?,[PROF] has expertise in [PROF..research_interests].,research_interests,,
What is [PROF]'s email?,[PROF]'s email is [PROF..email].,email,,
How can I contact [PROF]?,[PROF]'s email is [PROF..email].,email,,
What is [PROF]'s contact information?,[PROF]'s phone number is [PROF..phone number].,phone_number,,
What is [PROF]'s phone number?,[PROF]'s phone number is [PROF..phone number].,phone_number,,
What number do I call to reach [PROF]?,[PROF]'s phone number is [PROF..phone number].,phone_number,,
How can I reach [PROF]?,[PROF]'s phone number is [PROF..phone number].,phone_number,,
Where is [PROF]'s office?,[PROF]'s office is [PROF..office].,office,,
In what room is [PROF]'s office?,[PROF]'s office is [PROF..office].,office,,
Where can I find [PROF]'s website?,The website for [PROF] is [PROF..website].,website,,
Does [PROF] have a personal website?,The website for [PROF] is [PROF..website].,website,,
What is [PROF]'s home page?,The website for [PROF] is [PROF..website].,website,,
What is the email address of [PROF]?,[PROF]'s email is [PROF..email].,email,,
What is the office of [PROF]?,[PROF]'s office is [PROF..office].,office,,
What time are [PROF]'s office hours?,[PROF]'s office hours are [PROF..office_hours].,office_hours,,
When can I visit [PROF]'s office?,[PROF]'s office is [PROF..office] and their office hours are [PROF..office_hours].,office,,
Is [PROF] hosting office hours right now?,[PROF]'s office hours are [PROF..office_hours].,office_hours,,
Is [PROF] in their office now?,[PROF]'s office hours are [PROF..office_hours].,office_hours,,
What is the job title of [PROF]?,[PROF]'s title is [PROF..title].,title,,
Is [PROF] a lecturer or a professor?,[PROF]'s title is [PROF..title].,title,,
What is the position of [PROF]?,[PROF]'s title is [PROF..title].,title,,
What is [PROF]'s job at Cal Poly?,[PROF]'s title is [PROF..title].,title,,
Where is the next place I can find [PROF]?,[PROF]'s office is [PROF..office] and their office hours are [PROF..office_hours].,office,,
When can I next find [PROF] on campus?,[PROF]'s office is [PROF..office] and their office hours are [PROF..office_hours].,office,,
What is [PROF]'s title?,[PROF]'s title is [PROF..title].,title,,
What is the title of [PROF]?,[PROF]'s title is [PROF..title].,title,,
What is the email of [PROF]?,[PROF]'s email is [PROF..email].,email,,
What is [PROF]'s phone number?,[PROF]'s phone number is [PROF..phone number].,phone_number,,
What is the phone number of [PROF]?,[PROF]'s phone number is [PROF..phone number].,phone_number,,
Where is [PROF]'s office?,[PROF]'s office is [PROF..office].,office,,
What building is [PROF]'s office in?,[PROF]'s office is [PROF..office].,office,,
What time does [PROF] have office hours today?,[PROF]'s office hours are [PROF..office_hours].,office_hours,,
What days does [PROF] have office hours?,[PROF]'s office hours are [PROF..office_hours].,office_hours,,
When will [PROF] be at his/her office?,[PROF]'s office hours are [PROF..office_hours].,office_hours,,
Is [PROF] at their office right now?,[PROF]'s office hours are [PROF..office_hours].,office_hours,,
Does [PROF] have any areas of research?,[PROF] has expertise in [PROF..researchInterests].,researchinterests,,
What is the [CLUB] club?,[CLUB]: [CLUB..desc].,description,,
What is the box number of the [CLUB] club?,[CLUB]'s box number is [CLUB..box],box,,
What is the email for the [CLUB] club?,[CLUB]'s email is [CLUB..contact_email],contact_email,,
What college is affiliated with the [CLUB] club?,[CLUB] is affiliated with [CLUB..affiliation],affiliation,,
How can I contact [CLUB]?,[CLUB] can be contacted at [CLUB..contact_email] or [CLUB..contact_phone],contact_email,,
What is the phone number of the President of the [CLUB] club?,[CLUB]'s person of contact is [CLUB..contact_person] and you can reach them at [CLUB..contact_email] or [CLUB..contact_phone].,contact_person,,
What is the phone number of the Advisor of the [CLUB] club?,The phone number of [CLUB..advisor] is [CLUB..advisor_phone],advisor,,
How do I learn more about [CLUB]?,[CLUB]: [CLUB..desc]. You can learn more by emailing [CLUB..contact_person] at [CLUB..contact_email] or [CLUB..contact_phone],description,,
What does [CLUB] do?,[CLUB]: [CLUB..desc].,description,,
Who should I contact for [CLUB]?,[CLUB]'s person of contact is [CLUB..contact_person] and you can reach them at [CLUB..contact_email] or [CLUB..contact_phone].,contact_person,,
Is there a contact for [CLUB]?,[CLUB]'s person of contact is [CLUB..contact_person] and you can reach them at [CLUB..contact_email] or [CLUB..contact_phone].,contact_person,,
Can you descriptionribe the [CLUB]?,[CLUB]: [CLUB..desc].,description,,
Could you give me a brief overview of [CLUB]?,[CLUB]: [CLUB..desc].,description,,
Who is the chief contact for [CLUB]?,[CLUB]'s advisor is [CLUB..advisor].,advisor,,
Who should I get in touch with for [CLUB]?,[CLUB]'s person of contact is [CLUB..contact_person].,contact_person,,
W+D316hat is the general contact information for [CLUB]?,[CLUB]'s contact information is [CLUB..contact_email].,contact_email,,
Who is the club adviser for [CLUB]?,[CLUB]'s advisor is [CLUB..advisor].,advisor,,
What classes should I take with [COURSE]?,The corequisites for [COURSE] are [COURSE..corequisites] and the concurrent classes are [COURSE..concurrent],corequisites,,
What classes can I take instead of [COURSE]?,[COURSE_ALT] is an alternative to [COURSE]. Here is the description: [COURSE_ALT..description],description,,
What are alternatives to [COURSE]?,[COURSE_ALT] is an alternative to [COURSE]. Here is the description: [COURSE_ALT..description],description,,
Are there any alternatives for [COURSE]?,[COURSE_ALT] is an alternative to [COURSE]. Here is the description: [COURSE_ALT..description],description,,
How many alternative does [COURSE] Have?,[COURSE_ALT] is an alternative to [COURSE]. Here is the description: [COURSE_ALT..description],description,,
Can I take something else instead of [COURSE]?,[COURSE_ALT] is an alternative to [COURSE]. Here is the description: [COURSE_ALT..description],description,,
What courses substitute [COURSE]?,[COURSE_ALT] is an alternative to [COURSE]. Here is the description: [COURSE_ALT..description],description,,
What term is [COURSE] typically offered?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
When is [COURSE] usually offered?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
Who is usually the professor for [COURSE]?,[PROF] teaches [COURSE],,,
What courses have [COURSE] as a prereq?,[COURSE_LIST] have [COURSE] as a prerequisite,,,
Is [COURSE] currently offered?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
Does [COURSE] have any prerequisites?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
Which professors have taught [COURSE]?,[PROF] teaches [COURSE],,,
What is the email for the advisor of the [CLUB] club?,[CLUB..advisor]'s email is [CLUB..advisor_email],advisor,,
How many sections of [COURSE] are being offered this quarter?,"There are [COUNT:CURRENT_QUARTER_SCHEDULES|COURSE,CURRENT_TERM] sections of [COURSE] in the current quarter.",,,
How many sections of [COURSE] are being offered next quarter?,There are [COUNT:COURSE--has_sections_in--CURRENT_QUARTER_SCHEDULES] sections of [COURSE] in the next quarter.,,,
In how many quarters is [COURSE] offered?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
How many courses is [PROF] teaching?,[PROF] is teaching [PROF..section_name..PROF_SECTION..and].,,,
How many office hours does [PROF] have this week?,[PROF]'s office hours are [PROF..office_hours].,office_hours,,
How many classes is [PROF] teaching this quarter?,[PROF] is teaching [PROF..section_name..PROF_SECTION..and].,,,
